Order,Original,文字数,Translation (English)
32,"青岛是全国第12个也是山东省首个排污权有偿使用和交易试点城市。
11日,多家企业分别来到青岛市排污权交易中心提交排污权申购,申购受理后将缴纳有偿使用费。
此次即将完成的交易首单也预示着青岛排污权交易试点工作正式拉开序幕,这也将是全省排污权交易首单和全国城市级排污权交易首单。
11日上午,青岛双桃精细化工(集团)有限公司总经理赵秀平来到青岛市排污权交易中心提交排污权申购。
该企业位于青岛老城区的厂区去年年底全面停产,环保搬迁至平度的新厂区。
赵秀平提交了申请表、建设项目环境影响报告书等材料后,青岛市排污权储备和交易服务中心开始对申请材料进行初审。
根据青岛市物价、财政等部门确定的征收标准,目前预估算的初始排污权使用费约为64.12万元,工作人员将在7个工作日内完成核定。
此次即将完成的交易首单也预示着青岛排污权交易试点工作正式拉开序幕,也将是全省排污权交易首单和全国城市级排污权交易首单。
赵秀平说,目前企业环保已投资达4个亿,表面上数额巨大,但对企业经营管理理念、社会效益都有很大影响,对企业创新管理也开辟了空间。
当天,青岛四方新诚志卓客车配件有限公司也来为年产4200件高铁及动车组内饰配件项目申购排污权。
该项目属于机械加工企业,申请的初始排污权为化学需氧量(COD)0.514吨/年、氨氮(NOX)0.052吨/年。
大气污染物排污权有偿使用和交易为全市电力、热力生产供应重点工业企业。
2016年1月1日前已取得环评的现有排污单位,暂不征收有偿使用费。
“有偿获得排污权并不等于获得了违法排污的权力,并不能随意地排放污染物。”
青岛市环保局副局长汉红燕介绍,如果违法排污、超标排污仍然要按照相关的法规予以处罚,不可能允许违法企业通过购买排污权的方式来规避处罚。
也就是说,通过法律手段严厉打击环境违法行为,严惩企业的超标排污行为,从而保护环境,保障公众健康。
现在企业为了自身的利益,提高了治污的积极性,珍惜有限的排污权,减少了污染物排放。
有了经济利益的驱动,减少污染物的排放就从政府的强制行为变为企业自觉的市场行为,从而真正达到保护环境、保护自然、保障公众健康的目的。
排污权又称“排放权”,是排放污染物的权利,指排放者在政府分配的额度内,依法享有的向环境排放污染物的权利。
这种权利实质上是排污者对环境容量资源占有、使用和收益的权利。
下一步,在污染物排放总量不超过允许排放量的前提下,内部各污染源之间通过货币交换的方式相互调剂排污量。
排污权交易自1968年由美国经济学家戴尔斯提出以来,20世纪70年代开始美国将其应用于大气及河流污染源的管理。
我国从2007年开始进行试点,目前已有浙江、江苏等14个省(区、市)在全面推行。",1128,"Qingdao is the 12th and the first pilot city in Shandong Province to utilize a carbon trading scheme.
On the 11th, many companies came to the Qingdao's Emission Trading Center to submit their carbon trading application and will pay the permit fees once it is processed.
The first trading done represents that the carbon emission trading pilot program has officially started, and will be the first in the province to introduce the emission trading scheme at the city-level.
On the morning of the 11th, Zhao Xiuping, the president of Qingdao Shuangtao Jingxi Chemical Industry (Group) Limited Company, came to the Qingdao Emissions Trading Center to submit an application to purchase an emission permit.
The same company had a plant in Qingdao's old town but was shut down last year and relocated to Pingdu for environmental concerns.
After Zhao Xiuping submitted the construction and environmental assessment permit application, the Qingdao Emissions Trading Center started to do a preliminary review of the submitted application.
The estimated initial emission fee is approximately 641,200 yuan according to the collection standards set by Qingdao Pricing Administration. The staff will process and verify it within 7 business days.
The first trading done represents that the carbon emission trading pilot program has officially started, and will be the first in the province to introduce the emission trading scheme at the city-level.
Zhao Xiuping mentioned that he has invested RMB 400 million on corporate environmental responsibility. Despite being a large amount of money put into this, it greatly impacts the company's philosophy, social responsibility, and also opens up a new level of innovation management.
On the same day, Qingdao Sifang Xincheng Zhizhuo Coach Parts Co., Ltd. also came to purchase emission permits for their annual production of 4,200 pieces of high-speed rail and EMU (Electrical Multiple Unit) interior parts.
This project was for the machining companies, with initial emission amount of 0.514 ton/yr of COD, and 0.052 ton/yr of NOX on their application.
The carbon emission trading is an important business to support electricity and heat for the city.
The carbon credits obtained from EIA before January 1, 2016 will not be charged with the usage fee for the time being.
""Purchasing an emission permit does not grant permission to freely discharge illegal pollutants.""
Han Hongyan, the Deputy Director of the Environmental Protection Bureau of Qingdao stated the those who discharge illegal pollutants and excessive pollutants will still be punished according to the regulation; those discharging illegal discharge of pollutants and excessive discharge of pollutants will still have to be punished in accordance with relevant regulations, and companies will not be able to purchase emission permits to avoid punishment for illegal or excessive discharges.
Basically, through legal measures and being stringent on environmental violations and to punish companies for excessive discharges, we will be able to protect the environment and the health of the public.
Companies have now put their focus on managing emissions for their own benefit and appreciate limiting the emission amount which has lead to a reduction of pollutants being discharged.
With the economic benefits being a factor, the government's bold action has lead to company's to react to take action on reducing emissions. This will all lead to protecting the environment, nature, and the health of the public.
The right to emit pollutants, also known as “emissions permit”. It refers to the right of emitters to discharge pollutants to the environment within the limits allocated by the government.
This type of right limits the footprint of the polluters in the environment and a right to gain revenue.
The next step, assuming that the discharged pollutant does not exceed the limit is to control the emission amount  through carbon emission trading.
Emissions trading was proposed by American economist John Dales back in 1968. Since the 1970s in the 20th Century, the United States has applied it to control pollution in the atmosphere and river.
China has been doing trials since 2007, and has implemented it in 14 provinces (in regions and cities) including Zhejiang and Jiangsu."
44,"据香港《东方日报》8月12日报道，目前内地钻石销售被指存在三大问题，包括虚标钻石净度推高售价、虚标钻石重量、售后无保障等。
而安特卫普为全球最大的钻石交易中心之一，当地工匠的钻石切割技术名满天下，所出售的钻石经过严格鉴定，深受内地女士的欢迎。
“一个小布袋，握在手心，轻飘飘的一小撮，价值近百万元”，一名参与代购钻石的刘姓大妈，向内地传媒描述她今年六月在安特卫普的经历。
她指自己把钻石藏在内衣里，连续几日上厕所、洗澡都带着，走路睡觉都十分紧张。
她称在安特卫普所买的钻石，购入价为每克拉约五万五千元，同品质的钻石在厦门的零售价约十一万一千元。
她日前以购入价加两成，把代购的钻石全部售出，一次过大赚二十万元。
据内地海关规定，钻石非旅客于行程中的用品或必需品，故属于货品范畴，出入境时需申报，否则或列作走私，情况严重可被判入狱。",365,"According to Hong Kong’s “Oriental Daily” article on August 12, there are currently three major problems regarding the sales of diamonds in the Mainland. These include the falsifying the clarity to increase the price, falsifying the weight of diamonds, and the lack of warranty.
Antwerp is one of the largest diamond trading centers in the world, and is known for their diamond cutting technology by local craftsmen. The diamonds sold have been thoroughly appraised and are favored by ladies from the mainland.
""A small cloth bag floating in the palm of your hand is worth nearly one million yuan,"" said Liu, who purchased diamonds there. She described to the mainland media in regards to her experiences in Antwerp this June.
She explained that she hid the diamonds in her underwear and always kept it by her everyday even when she went to the washroom or shower; was very cautious when going out or sleeping.
She said that the diamonds she bought in Antwerp retailed 55,000 yuan per carat, while the diamonds of the same quality in Xiamen would cost around 111,000 yuan.
She sold all of the recently purchased diamonds at a 20% premium, and made 200,000 yuan just like that.
According to the regulations of the Mainland Customs, diamonds are not articles or supplies necessitated by the traveler. Therefore, diamonds are regarded as a good and must be declared when they leave or enter the country. Otherwise, it may be considered as smuggling and face potential jail time."
30,"奥组委委托制作国旗的第三方公司（非中国公司）在巴西圣保罗州，距离圣保罗市约75公里。
为督促厂家尽快完工，中国驻圣保罗总领馆组织专人赶赴厂家，深入做工作。
经过30个小时加班加点，该厂家终于完成中国国旗制作并装车赴运，将原本需要4－5个工作日的任务提前完成。
据悉，国旗预计于11日运抵里约，奥组委收到国旗后会送到各个奥运场馆，整个过程将在中国驻巴西使领馆的监督之下完成。",186,"The third party company (not a Chinese company) commissioned by the BOCOG to produce the national flag is located in the state of Sao Paulo, Brazil, which is around 75 kilometers away from São Paulo city.
In order to supervise and push them to complete the work as soon as possible, the Chinese Consulate General in São Paulo arranged a special staff to do so.
After clocking 30 overtime hours, the manufacturer finally completed the Chinese flag and loaded it onto the truck, A task like this would have normally required 4-5 business days to complete.
The national flag is expected to arrive in Rio on the 11th and the Olympic Organizing Committee would send the flag to all the venues. The entire process was done under the supervision of the Chinese embassy in Brazil."
130,"英国《金融时报》8月12日发布了一组美国驻华大使官邸的图集。
文章称，与之形成对比的是，美国大使官邸从外观来看，完全可以在下一部改编自约翰勒卡雷冷战间谍小说的电影中作为安全屋。
官邸是灰色的，并用外围防护栏、第二层内墙、带刺铁丝网以及车辆路障层层严密防守。",128,"Britain’s “Financial Times” released an atlas of the US Embassy residence in China on August 12. 
According to the article, the American ambassador's official residence can be seen as a safe house in the next film adapted from John Le Carré's spy novel set in the Cold War.
The building is gray and surrounded with fences with another set of walls, barbed wires and cars."
108,"今日19点35分，在中超第22轮率先开打的一场比赛中，重庆力帆客场挑战北京国安。
第29分钟，王栋操刀点球破门，第39分钟，新援卡尔德克在费尔南多助攻下收获中超首球，第81分钟，国安扳回一球。
比赛进行10分钟后，力帆连续冲击中连获角球机会，费尔南多小角度抽射被国安防线挡出底线。
第15分钟，张稀哲中场直线挑传，伊尔马兹已直冲禁区，单兵防守的刘宇抢先出脚将球破坏。
1分钟后朴成在左路前插传中，于大宝禁区中路扫射未踢正部位，力帆门将邓小飞将球没收。
费尔南多右路一对二回带后突然挑传门前，卡尔德克前插接应时被雷腾龙飞扑动作放倒，裁判判定点球，并向雷腾龙出示黄牌。
国安在第37分钟就进行换人调整，张晓彬下场，张池明登场反戈旧主。
卡尔德克禁区前摆脱分球，费尔南多禁区左侧低平球传中，卡尔德克顺势推射破门。
这也是卡尔德克在中超首发的赛事中就取得入球，力帆2:0领先。
下半场刚刚开场费尔南多就以强行突破赢得右侧任意球，可惜小角度攻门打高。
在邓小飞被判定拖延时间领到黄牌后，替补出场的彭欣力因禁区前犯规也领到黄牌。
第56分钟，张池明左路内切中与张稀哲传递配合，其弧线球攻门被邓小飞挡出。
刘宇禁区前凶狠铲抢侵犯克里梅茨，他与情绪激动的王栋相继领到黄牌。
第63分钟，费尔南多右路奔袭时被克里梅茨直接撞翻，费尔南多对克里梅茨的动作非常不满，克里梅茨领到黄牌。
1分钟后费尔南多再度在右路展示奔袭能力，于大宝追防犯规也领到黄牌。
伊尔马兹禁区线内强行突破，在郑又荣伸腿拦截动作下倒地，裁判判定点球，伊尔马兹操刀破门，力帆2:1国安。
第86分钟，周挺右路送出传中，谢尔盖耶夫在禁区中路胸部停球后顺势施射，邓小飞再次以精彩扑救将球封出。
4分钟补时过后，力帆将2-1的比分保持到终场，于客场战胜国安。
拿下这宝贵的3分之后，目前力帆的积分达到27分，暂居积分榜第10位。",784,"At 19:35 today, the Chongqing Lifan faced Beijing Guoan in the first game of the 22nd season of the Super League.
In the 29th minute, Wang Dong scored on a penalty kick. In the 39th minute, then Alan Kardec who just joined recently scored his first Super League goal with an assist from Fernando Henrique da Conceição. In the 81st minute, Guoan scored a goal.
After 10 minutes in the game, Lifan relentless attack lead to a chance from the corner but Fernando's redirection was blocked by Guoan's defense.
In the 15th minute, Zhang Xizhe sent a pass down the center to Burak Yılmaz who was in the goal area but the ball was cut by the sole defender Liu Yu.
A minute later, Pu Cheng passed the ball forward to the left, and in the goal however Dabao could not get a shot off and Deng Xiaofei, the Lifan goalkeeper snatched the ball away.
Fernando went 1v2 on the right side before quickly passing into the goal area but when Alan Kardec was being marked, he was pushed down by Lei Tenglong. The referee deemed it a penalty and issued a yellow card.
Guoan made substitutions in the 37th minute. Zhang Xiaobin was subbed off and Zhang Chiming came on the pitch.
Kardec got passed the penalty area where Fernando sent a low pass into the goal area where Kardec was able to capitalize on.
This was Kardec's first Super League goal. Lifan leads 2-0.
The 2nd half just started and Fernando had a chance with a free kick from the right but kicked it too high.
After Deng Xiaofei's delayed yellow card, Peng Xinli who just came off the bench was also issued a yellow card in the goal area.
In the 56th minute, Zhang Chiming passed left to Zhang Xizhe for a shot but his curve shot was denied by Deng Xiaofei.
Liu Yu was aggressive towards Egor Krimets in front of the goal area and things got heated between Liu and Dong Wang and were both issued yellow cards.
In the 63rd minute, Fernando was knocked down by Krimets on the right and was not happy about it. Krimets was handed a yellow card.
A minute later, Fernando showed off his aggressiveness on the right side and was issued a yellow card for his rough play on Dabao.
Yilmaz got in the goal area but was tripped by Zheng Yourong's slide. The referee deemed it to be a penalty and awarded a penalty kick to Yilmaz which he scored. Lifan leads Guoan 2-1.
In the 86th minute, Zhou Ting made a pass from the right to Igor Sergeev who trapped the ball in the goal area with his chest then fired a shot. Deng Xiaofei made another spectacular save.
After 4 minutes of stoppage time, Lifan managed to hold on to their lead and beat Guoan 2-1 on the road.
After winning the precious 3 points, Lifan currently have 27 points and temporarily places them in 10th place."
80,"8月11日上午8点，齐鲁晚报记者跟随“健康中国行”义诊服务小组来到东港区西湖镇河沟村。
该村地处偏僻，距市区约24公里，村里居民200多户，因经济、交通和身体等方面的局限性，给很多中老年患者出门看病带来不便。
此次义诊的项目比较全面，内科、外科、呼吸科、精神科、皮肤科、儿科。
很多村民听说义诊的专家要来，早早就已经在村里的小广场等待。
67岁的薛大娘患有先天性脊柱侧弯，而最近几年的时间她又深受“哮喘”的困扰，以致连走着上个坡都会气喘吁吁，喘不上气。
医生告诉薛大娘，慢性支气管炎想要根本治愈的可能性不大，平常坚持用药可有所缓解。
在皮肤科医生问诊处，一名60多岁的老人带着她的小孙子前来咨询。
老人的小孙子今年11岁，从孩子3岁开始，左脚一直受“脚气”困扰。
医生查看后告诉老人，这并不是“脚气”而是季节性的湿疹，千万不要随意用药耽误了治疗。
“在这个村我们提供了看病和B超的服务，而另一队在五莲县户部乡邱家店子村的义诊服务队还提供了免费体检的服务。
此次下乡义诊只是‘健康中国行’的其中一个部分，在以后的日子里，其他活动还将陆续开展。”",471,"At 8:00 in the morning on August 11th, the Qilu Evening News reporter followed the ""Healthy China Tour"" clinic service group to Hegou Village, Xihu Town, in the Donggang District.
The village is located in a rural area and is 24 km away from the city. There are around 200 households there, and the physical, economical hurdles as well as the lack of transportation method has made it difficult for seniors to get medical treatment.
The clinic provides comprehensive services like internal medicine, surgery, respiratory medicine, psychiatry, dermatology, and pediatrics.
Many villagers heard that the clinic service group was coming thus they awaited early at the village grounds for them to arrive.
Aunt Xue who is 67-years old is suffering from congenital scoliosis. In recent years, she has been suffering from asthma, and would lose her breath and have difficulty breathing even by just going up a slope.
The doctor advised that it is unlikely that her chronic bronchitis would cure and recommends to take medicine regularly for relief.
At the dermatologist clinic, a 60-year-old man came to consult with his young grandson.
His grandson is 11 years old now and has been dealing with ""beriberi"" on his left foot since he was 3 years old.
After the diagnosis, the doctor told the grandfather that this is not a case of ""beriberi"" but actually seasonal eczema; be sure to not use the wrong medicine as it can hamper with recovery.
""In this village, we provided services like medical treatment and usage of B-mode ultrasounds, while another team provided free medical examination services at Qiwangdianzi Village, Hubu Township, Wulian County.
This visit to the countryside is just a part of the initiative taken by ‘Healthy China Tour’, which will contunue to take place in the future."
168,"此项调控新政出台后，苏州将成为全国第一个重启限购的二线城市。
出台或者即将出台楼市调控政策的二线城市不止苏州，还包括合肥、南京等城市。
此前，合肥已经率先发布限贷政策，对于在合肥名下有两套房且有一套住房贷款未结清的购房者，银行将拒绝提供房贷服务。",123,"Once this new deal is implemented, Suzhou will become the country’s first second-tier city to resume purchase restrictions.
Suzhou is not the only second-tier cities that have introduced or plan to issue property market regulation policies, but also cities like Hefei and Nanjing as well.
Before this, Hefei had already implemented a loan-limiting policy. Banks would refuse to provide a mortgage for buyers who owned two houses in Hefei and had an unstable home loan."
100,"海口海事法院凌晨立案确保临高渔船沉没事件当事人权益
3名身亡船员的亲属于8月7日凌晨4点赶赴海口海事法院，提起诉前财产保全扣押涉嫌肇事货轮的申请。
4日事发后，涉嫌肇事货轮被海事局扣押于海口秀英港协助调查。
鉴于海事局72小时扣押期限于8月7日上午9点届满，遇难者亲属于7日凌晨向法院提起财产保全申请。
凌晨4点20分，申请人提起诉前财产保全，值班法警耐心接待。",181,"Haikou Maritime Court Sets the Case in the Morning to Ensure the Rights and Interests of the Clients of the Shenggao Fishing Boat.
The family members of the 3 crew member who lost their lives, made their way quickly to the Haikou Maritime Court at 4 am on August 7th to file an application to seize the cargo vessels that were involved in the accident before the trial in court. 
After the incident on the 4th, the suspected cargo ship was detained by the Maritime Affairs Bureau at Xiuying Port in Haikou to assist with the investigation.
Since the 72-hour detainment period of the MSA was only until 9:00 am on August 7, the victim's relatives filed an application for asset detainment in the court early morning on the 7th.
At 4:20 in the morning, the claimant filed a lawsuit before the property was filed, and was diligently accepted by the court police."
140,"现年63岁的流浪者韩某与另一流浪汉肖某酒后发生争执，遂持刀将其扎死。
韩某称案发前他和流浪汉肖某都住在东城区一胡同内的地上，两人相距20多米。
韩某称，案发当天，他俩被朋友叫去一起喝酒，两人在吃饭时和饭后曾两次发生争执。
韩某称，他怕肖某打他，就从垃圾堆捡来一把水果刀，将其扎死。
庭上，被害人家属要求韩某赔偿丧葬费、死亡赔偿金等共计53万余元。",173,"Han Mou, a 63-year-old wanderer, was drinking with another wanderer Xiamou. However a dispute arose and he stabbed Xiamou to death.
Han explained that before the incident, that they lived in the middle of an alley in Dongcheng District as wanderers around 20 meters apart from each other.
He that they were invited by a friend for drinks on that day and the dispute occurred during and after the meal.
Han said that he was fearful of being hit by Xiamou thus picked up a fruit knife from the garbage and killed him with it.
In court, the family of the victim demanded compensation for funeral expense and death compensation which totaled to more than 530,000 yuan."
162,围头村具有得天独厚的海洋环境，坐拥自然生态和人文生态两大休闲旅游资源。,35,The village of Weitou features a unique marine environment and enjoys two natural and ecological tourist attraction.
96,"格陵兰鲨又称小头睡鲨，广泛分布于格陵兰岛与冰岛周围的北大西洋海域，其在成年时所达到的身长为4至5米。
但它们的生长速度极其缓慢，有时1年只长约1厘米，这提示格陵兰鲨可能有着格外长的寿命。
传统的测年方法通常使用动物的钙化组织，一些鲨鱼中可以使用鳍脊，但这种钙化组织在格陵兰鲨中十分稀少。
由丹麦哥本哈根大学的尤利乌斯·尼尔森领导的新研究转而使用格陵兰鲨的眼部晶状体进行放射性碳测年。
这种方法此前曾用于测定鲸鱼的年龄，但用来确定鲨鱼等鱼类的年龄还是第一次。
他们的分析显示，这头最大的鲨鱼寿命估计为392岁，误差为120岁。
这就是说，这条鲨鱼年龄至少是272岁，最大可能达到512岁。
此外，雌性的格陵兰鲨据称要到身长约4米时才能性成熟，换算成年龄也就是至少要到156岁才成年。
研究人员因此在论文中写道，格陵兰鲨是地球上已知的、最长寿的脊椎动物，超过了以前的长寿冠军露脊鲸（211岁）。",395,"The Greenland shark, also known as the Mouth Shark, is commonly found in the North Atlantic waters around Greenland and Iceland. They grow to 4-5 meters in length as an adult.
However, they grow very slow, sometimes only about 1 cm in 1 year. This suggests that the Greenland shark may have an exceptionally long life span.
Using calcified tissue to measure age is the traditional method and fins can be used with some sharks. However the calcified tissue is very rare in Greenland sharks.
A new study led by Julius Nilsson of the University of Copenhagen in Denmark looked at radiocarbon dating of the eye lens of the Greenland Shark.
This method was previously used to determine the age of the whales, but this the first time that this was applied to determine the age of sharks.
Their study shows that the life of the largest shark is estimated to be 392 years old and with a deviation of 120 years old.
This means that the oldest shark is at least 272 years old and could be as old as 512 years old.
In addition, the female Greenland shark is said to be ready to mate when it is about 4 meters in length, which equates to an age of at least 156 before reaching adulthood.
Therefore, the researchers wrote in the paper that the Greenland shark is the longest-lived vertebrate known on the earth and surpasses the right whale (211 years old) which previously held that title."
142,"原标题：江苏一养殖场2000只鸡被法院查扣场主擅自变卖获刑
判决生效后，因李某没有自动履行判决确定的义务，王某向沭阳法院申请强制执行。
2014年10月16日，沭阳法院作出民事裁定，裁定对李某所有养殖场内蛋鸡2000只予以扣押，未经允许不得转移、变卖。
李某在收到扣押裁定后，在未经沭阳法院许可的情况下，私自将该养殖场内被扣押的部分蛋鸡卖掉。
至2015年3月8日沭阳县公安局勘查时，养殖场内只剩蛋鸡142只。",205,"Original Title: Owner Sold off 2,000 Chickens from a Farm in Jiangsu Despite being Seized by Court. 
After the verdict was set, Wang had applied to the court in Shenyang for enforcement due to Lee's failure to fulfill the obligations.
On October 16, 2014, the Shenyang Court made a civil ruling to seize all of the 2,000 chickens on Lee's farms which could not be transferred or sold without permission.
After receiving the order, Lee still went off to sell some of the chickens that had been seized without the permission of the Shuyang Court.
An investigation was conducted by the Public Security Bureau of Suiyang County on March 8th, 2015, and discovered that only 142 chickens were left on the farm."
124,8月11日，武警山东总队烟台支队组织特战狙击手冒着34摄氏度的高温来到昆嵛山开展丛林训练。,45,"On August 11th, the Yantai detachment of the Shandong Armed Police Force organized training in the jungle for special forces snipers in Kunyu Mountain which has a high temperature of 34 degrees Celsius."
46,"黄山市现存非物质文化遗产项目1325个，种类和数量均居全省第一。
由于徽文化非遗传承主要依赖口传面授，许多非遗濒临失传，运用数字化技术保存和保护势在必行。",77,"There are 1,325 existing intangible cultural heritage items located in Huangshan City, making it the top ranked in the province in terms of type and quantity.
Many intangible items are lost because the intangible cultural items of Hui culture relies on being orally transmitted to others. It is important to use digital technology to preserve and protect them."
36,"要严密户籍档案管理，对无户口人员户口登记材料逐一建立电子和纸质档案，确保档案资料完整有效。
公安机关应当将办理无户口人员户口登记的情况，及时通报相关部门。
对与本实施意见精神不一致的政策措施将进行一次集中清理，该修改的认真修改，该废止的坚决废止。",123,"It is necessary to manage the family registration records strictly and establish electronic and paper files one by one for the registration of non-hukou account holders to ensure that the filed information is complete and valid.
The public security agency shall promptly notify the relevant departments of the account registration of those not in the hukou system.
The policy measures that are inconsistent with the goal laid out will be subject to a complete overhaul, and necessary revision and abolishment of policies will be done as needed."
26,"在京居住6个月以上的且符合在京有合法稳定就业、合法稳定住所、连续就读条件之一的非京籍市民,可以申请领取居住证。
近日,北京《居住证暂行条例》实施细则出台,这意味着“暂住证”将升级为“居住证”。
相关部门负责人称,从“暂住证”到“居住证”的转变,意味着北京对非京籍常住人口将从“管理”转为多方位服务。",149,"Those who are not from Beijing but have lived in Beijing for more than six months and meet one of the conditions of consecutively having legal and stable employment, and legal and stable residence can apply for a residence permit.
Recently, Beijing issued the ""Interim Regulations on Residence Permits"". This means that ""temporary residence permits"" will be upgraded to ""residence permits.""
The person in charge of the relevant department stated that the shift from the “temporary residence permit” to “residence permit” means that Beijing will be moving from ""managing"" non-residents to being able to provide a facet of services."
48,在新疆喀什的演习导演部，随着总导演的一声令下，武警驻喀什、和田、阿克苏三地的各部队迅速按照导调指令，实施机动集结，开赴演习作战地。,65,"In the exercise training department in Kashgar, Xinjiang, ordered by the general director, the troops of the armed police in Kashi, Hetian, and Aksu quickly mobilized and proceeded with combat operations in accordingly."
164,"对于番薯在何时由何人引进这一问题，学界的说法仍纷繁不一。
在目前较为主流的观点中，番薯的引进主要有三条线路。
番薯引入的三条线路中影响最大、传播最广的，就是陈振龙由菲律宾引入福州。",90,"The academic community is still debating in regards to the question on when and how sweet potato was introduced.
There are currently three theories in regards to how the sweet potato was introduced.
The most widespread theory among the three is that the sweet potato was introduced by Zhenlong Chen who brought it from Philippine to Fuzhou."
38,"据了解，海外会展成为推动浙江省“一带一路”建设的重要平台。
这些海外展会的成功举办为继续开拓“一带一路”沿线新兴市场，打造海外会展综合平台积累了宝贵经验和良好基础。",82,"It is understood that overseas exhibitions have become an important platform for promoting the construction of “One Belt and One Road” in Zhejiang Province.
The successful overseas exhibitions has led to valuable experiences and a good foundation for the continued development of emerging markets along the “One Belt and One Road”. It has also These successful overseas exhibitions has led to continued development of emerging markets along the “One Belt and One Road”, and these experiences has established a foundation for participating in overseas exhibitions."
84,"市残联副理事长于波出席活动并作重要讲话。
出席领导共同为第二批“爱心原山”雷锋私家车队授牌。
20年来，“爱心原山”以实际行动书写着人间大爱，原山林场先后接管、代管了5个困难事业单位，直接安置职工近千人次。
在每次重大灾害面前，原山人都自发组织捐款捐物，向社会伸出援助之手。
全国道德模范提名奖、原山林场党委书记孙建博说，雷锋精神传承着时代的真善美，是一项符合社会主义价值体系的长久事业。
仪式结束后，参加活动人员参观山东原山艰苦创业纪念馆并体验无障碍设施建设。",231,"Mr. Yu Bo, the deputy director of the CFLD, attended the event and gave an important speech.
The leaders in attendance awarded a 2nd medal to the Lei Feng private car service group ""Love Yuanshan"".
In the past 20 years, ""Love Yuanshan"" has shown their love through action. The Yuanshan Forest Farms took over and successfully managed five struggling public institutions and which provided employment to nearly a thousand people.
In the wake of major disasters, the people of Yuanshan have actively organized and made donations to help the community.
Sun Jianbo who is the director of the Yuanshan Forest Farm was the recipient of the National Moral Model Nomination Award said that, the spirit of Lei Feng represents the goodness and reflects socialist value system which should be passed down to the future. 
After the ceremony, participants visited the Shandong Yuanshan Hardship Business Memorial Hall and experienced the barrier-free facilities."
