wmt_article,wmt_line,wmt_article_name,src,mt,human_a,human_b
32,552,ifeng0812.news.49764500_0,"也就是说,通过法律手段严厉打击环境违法行为,严惩企业的超标排污行为,从而保护环境,保障公众健康。","In other words, through legal means to crack down on environmental violations, and severely punish enterprises for excessive pollution, so as to protect the environment and protect public health.","In another word, we should fight against environmental offense and  excessive discharge by enterprises with serious legal action to protect our environment and public health.","Basically, through legal measures and being stringent on environmental violations and to punish companies for excessive discharges, we will be able to protect the environment and the health of the public."
32,553,ifeng0812.news.49764500_0,"现在企业为了自身的利益,提高了治污的积极性,珍惜有限的排污权,减少了污染物排放。","Now enterprises for their own interests, improve the enthusiasm of pollution control, cherish the limited emission rights, reducing the emission of pollutants.","Enterprises are now more enthusiastic about pollution treatment because of their own interests; limited emission rights are valued, and emission of pollutants has decreased.",Companies have now put their focus on managing emissions for their own benefit and appreciate limiting the emission amount which has lead to a reduction of pollutants being discharged.
32,554,ifeng0812.news.49764500_0,"有了经济利益的驱动,减少污染物的排放就从政府的强制行为变为企业自觉的市场行为,从而真正达到保护环境、保护自然、保障公众健康的目的。","Driven by the economic benefits, reducing the emission of pollutants will change from the government's compulsory behavior to the enterprise's conscious market behavior, so as to truly achieve the goal of protecting the environment, protecting nature and protecting public health.","Driven by economic interest, reducing emission of pollutants will shift from mandatory acts imposed by the government to conscious corporate market behavior. Thus, the goal of protecting the environment and nature as well as ensuring public health will be achieved.","With the economic benefits being a factor, the government's bold action has lead to company's to react to take action on reducing emissions. This will all lead to protecting the environment, nature, and the health of the public."
32,555,ifeng0812.news.49764500_0,"排污权又称“排放权”,是排放污染物的权利,指排放者在政府分配的额度内,依法享有的向环境排放污染物的权利。","Emission right, also known as ""emission right"", is the right to discharge pollutants, which refers to the right of the emitter to discharge pollutants into the environment within the quota allocated by the government according to law.","The right to discharge pollutants, or ""emission rights"", are a right to emit pollutants, i.e., polluters, within a quota allocated by the government, enjoy the right to discharge pollutants into the environment according to the law.","The right to emit pollutants, also known as “emissions permit”. It refers to the right of emitters to discharge pollutants to the environment within the limits allocated by the government."
32,556,ifeng0812.news.49764500_0,这种权利实质上是排污者对环境容量资源占有、使用和收益的权利。,"This right is essentially the right of the polluter to possess, use and benefit from the environmental capacity resources.","This right is in essence, the right polluters have on the ownership, use and profit of existing resources in the environment.",This type of right limits the footprint of the polluters in the environment and a right to gain revenue.
32,557,ifeng0812.news.49764500_0,"下一步,在污染物排放总量不超过允许排放量的前提下,内部各污染源之间通过货币交换的方式相互调剂排污量。","Next, under the premise that the total amount of pollutants discharged does not exceed the permitted amount, the amount of pollutants discharged is adjusted by means of currency exchange between the internal sources of pollution.","In the next step, under the pretext of keeping total emissions within the allowable emission volume, various internal sources of pollution shall use currency exchange to modulate emissions.","The next step, assuming that the discharged pollutant does not exceed the limit is to control the emission amount  through carbon emission trading."
32,558,ifeng0812.news.49764500_0,"排污权交易自1968年由美国经济学家戴尔斯提出以来,20世纪70年代开始美国将其应用于大气及河流污染源的管理。","Since the emission trading was put forward by American economist Dales in 1968, it has been applied to the management of air and river pollution sources in the United States since the 1970s.","Emissions trading was first proposed by the US economist Dales in 1968. In the 1970s, the US made use of this to manage sources of atmospheric and river pollution.","Emissions trading was proposed by American economist John Dales back in 1968. Since the 1970s in the 20th Century, the United States has applied it to control pollution in the atmosphere and river."
32,559,ifeng0812.news.49764500_0,"我国从2007年开始进行试点,目前已有浙江、江苏等14个省(区、市)在全面推行。","China began to carry out pilot projects in 2007, and 14 provinces (autonomous regions and municipalities), including Zhejiang and Jiangsu, have been fully implemented.","Pilot programs were initiated since 2007. Currently, the program is being fully implemented at Zhejiang, Jiangsu, and other 14 provinces (in districts and cities).","China has been doing trials since 2007, and has implemented it in 14 provinces (in regions and cities) including Zhejiang and Jiangsu."
33,560,ifeng0812.news.49764552_0,据俄罗斯国防部介绍，为协助这6架战略轰炸机对叙利亚境内“伊斯兰国”目标实施空中打击，多架俄军战机从叙利亚赫迈米姆空军基地升空提供支持。,"According to the Russian Defense Ministry, in order to assist the six strategic bombers to carry out air strikes against Islamic State (IS) targets in Syria, a number of Russian warplanes launched from the Syrian Khmeimim air base to provide support.","Information given by the Russian Ministry of Defense said that in order to support the 6 strategic bombers to conduct air strikes of ""Islamic State"" targets within Syria, multiple Russian military aircraft has taken off from the Khmeimim Air Base from Syria to provide assistance.",
33,561,ifeng0812.news.49764552_0,今年2月22日，美国与俄罗斯就叙利亚冲突各方停火达成协议，停火协议自当月27日起开始执行。,"On 22 February this year, the United States and Russia reached an agreement on a ceasefire between the parties to the Syrian conflict, which has been in effect since 27 February.","On February 22 this year, the US and Russia has reached an agreement on a general ceasefire for the Syrian conflict. The ceasefire agreement will be enforced starting on the 27th day of the month.",
